Model_File,Weight
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-0_token_prob_pop.pkl,0.00588957
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-1_token_prob_pop.pkl,0.01246817
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-2_token_prob_pop.pkl,0.16267486
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-3_token_prob_pop.pkl,0.00787189
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-4_token_prob_pop.pkl,0.01881361
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-5_token_prob_pop.pkl,0.02972245
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-6_token_prob_pop.pkl,0.07415874
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-7_token_prob_pop.pkl,0.00329431
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-8_token_prob_pop.pkl,0.00539225
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-9_token_prob_pop.pkl,0.34124362
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-10_token_prob_pop.pkl,0.00854674
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-11_token_prob_pop.pkl,0.02227859
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-12_token_prob_pop.pkl,0.00764552
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-13_token_prob_pop.pkl,0.05953591
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-14_token_prob_pop.pkl,0.00514813
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-15_token_prob_pop.pkl,0.00240639
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-16_token_prob_pop.pkl,0.01094612
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-17_token_prob_pop.pkl,0.03089842
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-18_token_prob_pop.pkl,0.06578655
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-19_token_prob_pop.pkl,0.00319717
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-20_token_prob_pop.pkl,0.00453803
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-21_token_prob_pop.pkl,0.05402086
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-22_token_prob_pop.pkl,0.01200996
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-23_token_prob_pop.pkl,0.01556353
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-24_token_prob_pop.pkl,0.03594861
