Model,SimBench_Score,Num_Questions
marcelbinz/Llama-3.1-Minitaur-8B,12.8,7167
Qwen/Qwen3-8B,-5.57,7167
Qwen2.5-7B-Instruct-lora-finetuned-8-no-focal,-10.6,7167
Qwen2.5-7B-Instruct-lora-finetuned-3-no-focal,-10.75,7167
Qwen2.5-7B-Instruct-lora-finetuned-1-no-focal,-11.29,7167
Qwen2.5-7B-Instruct-lora-finetuned-20-no-focal,-13.1,7167
Qwen2.5-7B-Instruct-lora-finetuned-14-no-focal,-14.2,7167
Qwen2.5-7B-Instruct-lora-finetuned-23-no-focal,-14.48,7167
Qwen2.5-7B-Instruct-lora-finetuned-10-no-focal,-18.21,7167
Qwen2.5-7B-Instruct-lora-finetuned-11-no-focal,-18.87,7167
Qwen2.5-7B-Instruct-lora-finetuned-19-no-focal,-21.56,7167
Qwen2.5-7B-Instruct-lora-finetuned-0-no-focal,-21.81,7167
Qwen2.5-7B-Instruct-lora-finetuned-15-no-focal,-21.99,7167
Qwen2.5-7B-Instruct-lora-finetuned-12-no-focal,-22.16,7167
Qwen2.5-7B-Instruct-lora-finetuned-16-no-focal,-24.74,7167
Qwen2.5-7B-Instruct-lora-finetuned-21-no-focal,-25.46,7167
Qwen2.5-7B-Instruct-lora-finetuned-6-no-focal,-29.88,7167
Qwen2.5-7B-Instruct-lora-finetuned-13-no-focal,-30.2,7167
Qwen2.5-7B-Instruct-lora-finetuned-22-no-focal,-32.99,7167
Qwen2.5-7B-Instruct-lora-finetuned-24-no-focal,-33.59,7167
Qwen2.5-7B-Instruct,-34.87,7167
Qwen2.5-7B-Instruct-lora-finetuned-17-no-focal,-36.89,7167
Qwen2.5-7B-Instruct-lora-finetuned-9-no-focal,-37.36,7167
Qwen2.5-7B-Instruct-lora-finetuned-18-no-focal,-40.1,7167
Qwen2.5-7B-Instruct-lora-finetuned-5-no-focal,-41.9,7167
Qwen2.5-7B-Instruct-lora-finetuned-2-no-focal,-44.13,7167
Qwen2.5-7B-Instruct-lora-finetuned-7-no-focal,-47.34,7167
Qwen2.5-7B-Instruct-lora-finetuned-4-no-focal,-48.13,7167
